"","year","lowerCI","mean","upperCI","herd","scenario"
"1","1819",0.931220664658618,0.972753892551159,1.01829264302238,"CL","HB"
"2","1820",0.932808439562704,0.973722340453869,1.0244497043804,"CL","HB"
"3","1821",0.933575237540285,0.974262131201664,1.0220105240473,"CL","HB"
"4","1822",0.933603829941745,0.974742207057441,1.02395926087827,"CL","HB"
"5","1823",0.93320052005278,0.974830043730974,1.0229089265736,"CL","HB"
"6","1824",0.932932127909073,0.974802753368036,1.02251546059488,"CL","HB"
"7","1825",0.932577031205068,0.974798856168503,1.02412024596931,"CL","HB"
"8","1826",0.932882717009615,0.974355135716842,1.02540194578263,"CL","HB"
"9","1827",0.932960831232244,0.974481302156336,1.02598519324986,"CL","HB"
"10","1828",0.932958767903302,0.97442613700065,1.02994817861851,"CL","HB"
"11","1829",0.932956601968181,0.974861879983735,1.03032200911103,"CL","HB"
"12","1830",0.932889586904282,0.974497088637221,1.0283350579264,"CL","HB"
"13","1831",0.932429078630835,0.974892098548542,1.02979451628637,"CL","HB"
"14","1832",0.932089605611584,0.97489232668925,1.02826622209998,"CL","HB"
"15","1833",0.932648943924312,0.975215240094926,1.02488544406219,"CL","HB"
"16","1834",0.933319550553495,0.976253500927663,1.0297623102579,"CL","HB"
"17","1835",0.93354820333708,0.975881782472026,1.02648770759823,"CL","HB"
"18","1836",0.93396871473612,0.975282623428741,1.02779720225268,"CL","HB"
"19","1837",0.93194381781147,0.974743468230739,1.02493178317744,"CL","HB"
"20","1838",0.932926495615873,0.975073310374326,1.02326651005177,"CL","HB"
"21","1839",0.932458534580255,0.97515037932974,1.02838711133675,"CL","HB"
"22","1840",0.931837787114181,0.975011232689893,1.02575658965894,"CL","HB"
"23","1841",0.931818439981996,0.974518962102254,1.02823405169032,"CL","HB"
"24","1842",0.930859080797627,0.973910231042317,1.02751615271863,"CL","HB"
"25","1843",0.930598327073638,0.973333214387414,1.02717006077081,"CL","HB"
"26","1844",0.931765168837548,0.973475448209167,1.02736020977731,"CL","HB"
"27","1845",0.931705389589402,0.973597180114034,1.02859988114722,"CL","HB"
"28","1846",0.93214400192789,0.973402153796457,1.02643438824828,"CL","HB"
"29","1847",0.931973004077774,0.974008629979421,1.02787442486099,"CL","HB"
"30","1848",0.931266137801113,0.974675002091273,1.02792216177316,"CL","HB"
"31","1849",0.931715803307038,0.975214274859549,1.0263904823115,"CL","HB"
"32","1850",0.93145865176032,0.974902581361266,1.02588284219591,"CL","HB"
"33","1851",0.931507129816157,0.975341282999298,1.02634306241713,"CL","HB"
"34","1852",0.931668189702661,0.975397835149786,1.02949992894382,"CL","HB"
"35","1853",0.930034953537575,0.975553972085246,1.02918144736441,"CL","HB"
"36","1854",0.931443757013692,0.975126359742587,1.03049754277864,"CL","HB"
"37","1855",0.933136128702256,0.975395744647443,1.03046927705052,"CL","HB"
"38","1856",0.931362109792468,0.976281981547325,1.03285899590678,"CL","HB"
"39","1857",0.932653092259871,0.97662814394618,1.03146092241724,"CL","HB"
"40","1858",0.933848344410306,0.977438411927394,1.03147544114406,"CL","HB"
"41","1859",0.933899290929809,0.977898046998306,1.02915422480386,"CL","HB"
"42","1860",0.933885983118229,0.977863338928626,1.02876436709362,"CL","HB"
"43","1861",0.934536907725673,0.978102808245035,1.02966562813517,"CL","HB"
"44","1862",0.933473688959308,0.977706031491407,1.03141970811038,"CL","HB"
"45","1863",0.932961164443156,0.977912999698563,1.03029092548279,"CL","HB"
"46","1864",0.933211129505185,0.978241742035858,1.03536090772853,"CL","HB"
"47","1865",0.932162843812456,0.978353287751065,1.03358596114686,"CL","HB"
"48","1866",0.93138258434514,0.978562065093473,1.03522009359586,"CL","HB"
"49","1867",0.932098328648323,0.978780842874277,1.03435853200991,"CL","HB"
"50","1868",0.932527209840934,0.977809167573175,1.03238938631986,"CL","HB"
"51","1869",0.93051116754017,0.977183883904694,1.03313700193442,"CL","HB"
"52","1870",0.93015650389567,0.976307904652678,1.0334887857958,"CL","HB"
"53","1871",0.931388320149194,0.975735433328936,1.03183299292147,"CL","HB"
"54","1872",0.92954525640191,0.97519639551221,1.0293715232782,"CL","HB"
"55","1873",0.930006240435109,0.975556470224252,1.02884007795769,"CL","HB"
"56","1874",0.931144597874661,0.976353557681329,1.03019100200473,"CL","HB"
"57","1875",0.930938136560834,0.976453610420212,1.02990975589888,"CL","HB"
"58","1876",0.931481489426804,0.976701639954849,1.0295078065122,"CL","HB"
"59","1877",0.931503657111924,0.97643640349148,1.03040940022837,"CL","HB"
"60","1878",0.931697082734856,0.97619891498597,1.02818233018067,"CL","HB"
"61","1879",0.932493941506196,0.975688456511857,1.03208841913421,"CL","HB"
"62","1880",0.932817039576296,0.975893061948089,1.03052177359395,"CL","HB"
"63","1881",0.932935274743485,0.976168424697976,1.03008364013242,"CL","HB"
"64","1882",0.932708513014801,0.975506450355496,1.0316283179272,"CL","HB"
"65","1883",0.933326288572553,0.975436886856376,1.02958526879769,"CL","HB"
"66","1884",0.932880870020837,0.975110160694373,1.02897846039745,"CL","HB"
"67","1885",0.932809360785422,0.975008148503332,1.03342901399619,"CL","HB"
"68","1886",0.93348171780622,0.975307769759137,1.03371105380358,"CL","HB"
"69","1887",0.934014459109837,0.974794226857824,1.03395039910473,"CL","HB"
"70","1888",0.933900562709757,0.97479665789646,1.03365356141581,"CL","HB"
"71","1889",0.932923602898383,0.974808742491635,1.03435173080336,"CL","HB"
"72","1890",0.934770724561988,0.974718904944326,1.03437551139787,"CL","HB"
"73","1891",0.934685281034888,0.97502216293095,1.03129489065827,"CL","HB"
"74","1892",0.935116584129865,0.975985079445244,1.03148451126933,"CL","HB"
"75","1893",0.935156413089049,0.976391088757378,1.03270882025469,"CL","HB"
"76","1894",0.934970924324346,0.976338454449515,1.03540172884864,"CL","HB"
"77","1895",0.93512785207377,0.976176515562392,1.0353831337834,"CL","HB"
"78","1896",0.9350676878167,0.976077963744478,1.03124691797426,"CL","HB"
"79","1897",0.933938051114906,0.975463164390874,1.03314710373436,"CL","HB"
"80","1898",0.934291975075559,0.975172820953494,1.03052523445932,"CL","HB"
"81","1899",0.934648683381606,0.975233268419718,1.03184331225509,"CL","HB"
"82","1900",0.93525028443374,0.975334900566333,1.03047359987032,"CL","HB"
"83","1901",0.936003128780707,0.975167155397538,1.02858623607636,"CL","HB"
"84","1902",0.936348002256331,0.975477090267873,1.02844301221935,"CL","HB"
"85","1903",0.935996596598064,0.975330062353357,1.02674410003854,"CL","HB"
"86","1904",0.938289212068934,0.975276568567261,1.0271720234281,"CL","HB"
"87","1905",0.935944393467035,0.975602197022872,1.02826475264769,"CL","HB"
"88","1906",0.936856415910853,0.975116297326901,1.02743570284458,"CL","HB"
"89","1907",0.933594876278552,0.975319191814475,1.02700995604291,"CL","HB"
"90","1908",0.933906428170281,0.974538724223912,1.0257060699321,"CL","HB"
"91","1909",0.934158546270193,0.974285035141692,1.02405847938413,"CL","HB"
"92","1910",0.934226100972298,0.974743507900393,1.02286475754498,"CL","HB"
"93","1911",0.933649119031553,0.974272830701279,1.02492775176755,"CL","HB"
"94","1912",0.932487178376552,0.974479523251753,1.02741879111381,"CL","HB"
"95","1913",0.930890840879776,0.974028220183739,1.02596000999459,"CL","HB"
"96","1914",0.931478033614749,0.974297877680741,1.02785738802981,"CL","HB"
"97","1915",0.929956240827679,0.97378108439572,1.02842359672484,"CL","HB"
